Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bhutan,BTN,141000,145000,141000,143000,145000,142000,140000,140000,140000,159000,190000,189000,180000,249000,310000,313000,370000,365000,396000,332000,323000,205000,287000,263000,245000,249000,245000,244000,250000,365000,433000
Botswana,BWA,1382000,1630000,1876000,2120000,2137000,2159000,2117000,2086000,1829000,1588000,1854000,2113000,2380000,2183000,1981000,1778000,1720000,1664000,1617000,1786000,1842000,1895000,1940000,1999000,2057000,2103000,2157000,2207000,2261000,2493000,2472000
Central African Republic,CAF,562000,569000,572000,572000,570000,574000,576000,571000,568000,561000,569000,580000,581000,572000,570000,566000,561000,547000,549000,567000,561000,555000,552000,553000,561000,565000,565000,561000,562000,636000,657000
Canada,CAN,1032000,1120000,1138000,1040000,949000,962000,910000,828000,758000,683000,722000,766000,757000,719000,676000,632000,604000,614000,834000,806000,751000,729000,707000,691000,691000,700000,634000,583000,566000,946000,751000
Central Europe and the Baltics,CEB,925000,1013000,1153000,1137000,1084000,1018000,916000,895000,1039000,1243000,1322000,1373000,1293000,1292000,1204000,1009000,780000,660000,849000,990000,979000,998000,1005000,895000,782000,649000,530000,432000,378000,437000,450000
Switzerland,CHE,178000,281000,372000,388000,333000,371000,420000,360000,315000,267000,249000,292000,412000,432000,444000,400000,365000,335000,412000,480000,440000,448000,475000,483000,480000,492000,480000,471000,439000,482000,532000
Channel Islands,CHI,596000,640000,738000,757000,730000,723000,701000,657000,624000,566000,532000,559000,593000,611000,605000,574000,543000,550000,688000,724000,747000,826000,883000,861000,822000,774000,714000,657000,641000,769000,737000
Chile,CHL,523000,435000,449000,587000,470000,741000,714000,731000,1116000,1049000,1039000,1017000,977000,1016000,934000,902000,843000,929000,1131000,842000,734000,666000,621000,666000,651000,674000,696000,723000,729000,1118000,913000
China,CHN,237000,237000,269000,290000,300000,312000,323000,324000,325000,326000,380000,424000,458000,449000,452000,443000,435000,459000,472000,453000,455000,457000,459000,461000,463000,453000,444000,428000,452000,500000,482000
Cote d'Ivoire,CIV,661000,670000,585000,499000,410000,409000,411000,410000,434000,458000,480000,503000,526000,546000,569000,592000,614000,637000,659000,684000,713000,722000,425000,370000,315000,260000,327000,329000,332000,349000,347000
Cameroon,CMR,750000,761000,780000,781000,793000,806000,793000,782000,770000,759000,746000,670000,593000,514000,440000,373000,306000,341000,377000,411000,396000,382000,367000,353000,355000,358000,360000,362000,364000,384000,387000
"Congo, Dem. Rep.",COD,293000,294000,294000,292000,290000,290000,291000,290000,290000,290000,289000,287000,286000,285000,285000,308000,331000,355000,379000,401000,425000,449000,448000,446000,447000,448000,447000,445000,445000,527000,543000
"Congo, Rep.",COG,2007000,2005000,2007000,2009000,2000000,1998000,2001000,1996000,1999000,1990000,1991000,1988000,1990000,1985000,1980000,1986000,2003000,1998000,2000000,2007000,2018000,2018000,2032000,2031000,2045000,2056000,2056000,2061000,2062000,2284000,2301000
