Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Lao PDR,LAO,253000,251000,255000,247000,260000,249000,238000,242000,211000,206000,194000,180000,166000,151000,135000,119000,110000,97000,85000,71000,73000,74000,75000,76000,78000,79000,81000,83000,85000,103000,126000
Lebanon,LBN,837000,836000,844000,849000,852000,849000,862000,849000,844000,831000,819000,809000,799000,785000,828000,868000,898000,767000,635000,684000,739000,785000,831000,881000,932000,978000,1027000,1080000,1135000,1330000,1449000
Liberia,LBR,223000,220000,217000,215000,209000,205000,205000,205000,208000,208000,213000,214000,218000,217000,219000,220000,221000,223000,225000,227000,222000,217000,212000,208000,208000,308000,305000,303000,302000,398000,409000
Libya,LBY,1985000,2002000,2000000,1991000,2003000,1983000,1983000,1979000,1975000,1967000,1970000,1965000,1946000,1951000,1939000,1941000,1938000,1938000,1937000,1927000,1939000,1903000,1945000,1946000,1953000,1953000,1937000,1945000,1966000,2007000,1958000
St. Lucia,LCA,1691000,1673000,1680000,1700000,1583000,1633000,2047000,2160000,1809000,1649000,1852000,2039000,2218000,2097000,1870000,1600000,1400000,1272000,1537000,1711000,1886000,1906000,2221000,2130000,2056000,1965000,1886000,1908000,1532000,1689000,1691000
Latin America & Caribbean,LCN,612000,608000,609000,655000,772000,807000,789000,826000,914000,901000,870000,894000,881000,831000,786000,724000,680000,645000,744000,680000,648000,641000,636000,615000,663000,772000,799000,787000,793000,1006000,996000
Least developed countries: UN classification,LDC,385000,390000,392000,394000,395000,396000,400000,405000,412000,418000,424000,433000,445000,442000,441000,431000,440000,441000,448000,451000,451000,451000,449000,446000,452000,455000,459000,455000,455000,532000,555000
Low income,LIC,475000,482000,487000,490000,491000,492000,494000,500000,511000,520000,525000,528000,527000,516000,508000,504000,505000,506000,499000,517000,509000,502000,492000,494000,504000,507000,509000,509000,511000,583000,606000
Sri Lanka,LKA,1466000,1422000,1382000,1303000,1227000,1135000,1060000,917000,888000,774000,790000,876000,822000,838000,767000,650000,597000,522000,585000,478000,412000,388000,424000,419000,452000,424000,405000,432000,435000,588000,539000
Lower middle income,LMC,475000,484000,494000,516000,533000,536000,535000,554000,571000,563000,562000,560000,561000,551000,553000,535000,531000,513000,518000,507000,503000,502000,504000,502000,517000,526000,525000,521000,503000,658000,586000
Low & middle income,LMY,426000,433000,454000,486000,514000,524000,532000,554000,570000,554000,567000,580000,589000,573000,569000,550000,536000,530000,556000,537000,528000,524000,524000,523000,539000,555000,555000,546000,549000,659000,629000
Lesotho,LSO,3612000,3639000,3674000,3698000,3734000,3759000,3794000,3716000,3635000,3546000,3463000,3386000,3296000,3218000,3131000,3046000,2962000,2876000,2802000,2708000,2624000,2537000,2458000,2422000,2384000,2348000,2320000,2281000,2244000,2456000,2460000
Late-demographic dividend,LTE,362000,362000,388000,426000,441000,459000,485000,513000,536000,518000,537000,555000,578000,560000,553000,529000,501000,505000,547000,515000,506000,501000,499000,492000,508000,524000,523000,501000,515000,589000,579000
Lithuania,LTU,110000,120000,1380000,1380000,1754000,1640000,1413000,1371000,1339000,1593000,1684000,1301000,1287000,1068000,832000,578000,425000,583000,1379000,1781000,1539000,1336000,1177000,1070000,912000,786000,707000,615000,626000,849000,790000
Luxembourg,LUX,148000,203000,233000,348000,292000,329000,253000,276000,239000,235000,181000,262000,368000,511000,449000,473000,407000,506000,512000,436000,490000,514000,585000,585000,667000,629000,552000,559000,559000,677000,523000
Latvia,LVA,270000,660000,1670000,1870000,1900000,2070000,1490000,1446000,1379000,1421000,1382000,1383000,1206000,1171000,1003000,703000,605000,774000,1751000,1948000,1621000,1505000,1187000,1085000,987000,964000,872000,741000,631000,810000,760000
"Macao SAR, China",MAC,301000,220000,206000,248000,358000,425000,326000,461000,635000,687000,639000,627000,600000,490000,416000,382000,327000,300000,358000,284000,256000,197000,182000,170000,181000,194000,199000,183000,175000,257000,301000
Morocco,MAR,1260000,1299000,1310000,1294000,1353000,1317000,1371000,1361000,1394000,1358000,1246000,1159000,1192000,1083000,1101000,967000,956000,957000,896000,909000,891000,899000,923000,970000,946000,930000,924000,927000,928000,1145000,1147000
Moldova,MDA,190000,370000,370000,580000,530000,790000,790000,1000000,1114000,846000,729000,680000,795000,817000,729000,738000,507000,398000,640000,745000,668000,558000,510000,373000,470000,402000,410000,411000,510000,382000,396000
Madagascar,MDG,495000,499000,508000,519000,528000,537000,547000,557000,568000,580000,535000,535000,501000,383000,262000,294000,326000,358000,397000,428000,244000,60000,100000,139000,179000,180000,182000,184000,186000,247000,259000
Maldives,MDV,89000,86000,84000,81000,79000,103000,127000,150000,174000,197000,300000,419000,539000,642000,720000,916000,987000,1106000,1170000,1129000,1047000,947000,873000,787000,693000,612000,587000,562000,534000,633000,608000
Middle East & North Africa,MEA,1113000,1152000,1206000,1198000,1220000,1128000,1107000,1123000,1150000,1204000,1210000,1223000,1192000,1076000,1091000,1016000,963000,928000,941000,955000,1005000,1017000,992000,1004000,1018000,1024000,1026000,988000,915000,1054000,1053000
Mexico,MEX,315000,324000,337000,444000,710000,547000,424000,373000,260000,265000,263000,300000,346000,394000,356000,357000,363000,387000,536000,530000,517000,489000,491000,481000,431000,386000,342000,328000,348000,445000,438000
Middle income,MIC,422000,429000,452000,486000,516000,526000,535000,558000,574000,557000,570000,584000,594000,578000,574000,554000,539000,532000,560000,538000,529000,526000,527000,526000,542000,559000,560000,550000,553000,667000,632000
North Macedonia,MKD,2450000,2630000,2770000,3000000,3560000,3880000,3600000,3450000,3240000,3220000,3052000,3194000,3669000,3716000,3725000,3603000,3493000,3376000,3218000,3202000,3138000,3102000,2900000,2803000,,2372000,2238000,2074000,1726000,1720000,1620000
Mali,MLI,352000,354000,347000,343000,340000,333000,330000,405000,482000,563000,630000,716000,790000,875000,969000,1070000,1171000,1049000,929000,807000,690000,665000,635000,638000,773000,757000,741000,743000,744000,770000,772000
Malta,MLT,615000,616000,618000,620000,622000,624000,626000,628000,630000,632000,711000,690000,749000,732000,692000,680000,647000,598000,689000,685000,638000,620000,611000,572000,538000,469000,400000,366000,362000,426000,350000
Myanmar,MMR,75000,66000,70000,69000,69000,70000,71000,71000,67000,65000,67000,67000,66000,67000,67000,68000,69000,71000,71000,72000,77000,75000,75000,75000,77000,118000,156000,87000,50000,106000,217000
Middle East & North Africa (excluding high income),MNA,1186000,1214000,1283000,1287000,1333000,1230000,1204000,1223000,1255000,1318000,1324000,1333000,1294000,1160000,1185000,1106000,1059000,1037000,1051000,1078000,1151000,1175000,1148000,1167000,1193000,1205000,1207000,1162000,1077000,1224000,1219000
Montenegro,MNE,2542000,2559000,2580000,2672000,2755000,2791000,2796000,2812000,2759000,2859000,2874000,2913000,2952000,3001000,3031000,2510000,1940000,1715000,1909000,1965000,1967000,1997000,1950000,1800000,1754000,1772000,1607000,1517000,1512000,1790000,1849000
Mongolia,MNG,639000,642000,627000,614000,605000,616000,612000,614000,616000,623000,621000,620000,680000,682000,704000,713000,720000,556000,586000,655000,477000,390000,423000,480000,486000,724000,636000,538000,544000,701000,708000
Mozambique,MOZ,271000,276000,269000,271000,273000,270000,270000,274000,277000,285000,284000,289000,294000,297000,302000,304000,309000,313000,317000,322000,326000,330000,334000,338000,343000,345000,345000,346000,347000,381000,398000
Mauritania,MRT,993000,992000,988000,993000,983000,984000,989000,983000,981000,985000,983000,982000,979000,981000,979000,973000,988000,987000,987000,986000,986000,986000,996000,1005000,1014000,1026000,1034000,1039000,1039000,1127000,1146000
Mauritius,MUS,963000,960000,961000,960000,959000,950000,943000,935000,930000,918000,914000,820000,825000,834000,952000,904000,848000,717000,726000,765000,745000,747000,732000,747000,741000,681000,675000,643000,633000,741000,741000
Malawi,MWI,561000,571000,564000,576000,563000,570000,573000,575000,577000,579000,584000,581000,580000,582000,584000,585000,584000,586000,587000,589000,592000,595000,595000,590000,586000,582000,576000,576000,575000,670000,702000
Malaysia,MYS,365000,371000,411000,365000,315000,252000,245000,320000,343000,300000,353000,348000,361000,354000,353000,331000,323000,332000,366000,339000,305000,310000,316000,288000,310000,344000,341000,330000,326000,450000,461000
North America,NAC,716000,788000,735000,655000,603000,586000,541000,489000,456000,428000,498000,597000,616000,570000,526000,480000,477000,582000,915000,946000,879000,798000,734000,625000,546000,510000,458000,411000,389000,821000,570000
Namibia,NAM,1914000,1921000,1938000,1940000,2106000,2277000,2445000,2308000,2169000,2030000,2080000,2123000,2172000,2209000,2222000,2214000,2216000,2219000,2221000,2212000,1946000,1677000,1903000,1852000,2091000,2335000,2164000,1988000,1999000,2145000,2168000
New Caledonia,NCL,1807000,1846000,1850000,1838000,1815000,1864000,1826000,1842000,1783000,1748000,1723000,1693000,1650000,1631000,1585000,1522000,1483000,1458000,1397000,1381000,1407000,1435000,1447000,1459000,1473000,1469000,1478000,1485000,1491000,1643000,1657000
Niger,NER,135000,135000,138000,138000,139000,142000,143000,141000,147000,149000,147000,189000,232000,275000,310000,265000,220000,171000,127000,78000,32000,218000,137000,52000,53000,53000,54000,55000,55000,62000,75000
Nigeria,NGA,412000,409000,410000,409000,406000,403000,401000,400000,399000,395000,393000,388000,390000,388000,387000,386000,384000,382000,380000,378000,377000,374000,370000,456000,431000,706000,839000,846000,853000,971000,979000
Nicaragua,NIC,693000,697000,705000,701000,700000,705000,717000,724000,721000,735000,745000,758000,760000,641000,537000,531000,489000,620000,816000,783000,650000,521000,528000,452000,470000,390000,330000,520000,521000,608000,596000
Netherlands,NLD,728000,556000,629000,716000,716000,642000,551000,439000,362000,273000,212000,255000,359000,465000,587000,500000,415000,365000,435000,499000,498000,582000,724000,742000,687000,601000,484000,383000,338000,382000,401000
Norway,NOR,541000,591000,597000,535000,631000,504000,469000,374000,325000,346000,374000,402000,422000,426000,438000,340000,249000,255000,310000,352000,321000,312000,342000,348000,430000,468000,416000,380000,369000,442000,499000
Nepal,NPL,177000,171000,172000,189000,174000,182000,183000,178000,185000,186000,175000,154000,160000,155000,146000,139000,133000,133000,155000,182000,203000,233000,255000,294000,310000,287000,332000,319000,310000,472000,505000
New Zealand,NZL,1061000,1067000,980000,835000,646000,629000,686000,772000,702000,613000,543000,528000,475000,401000,381000,386000,366000,417000,612000,656000,649000,693000,584000,543000,541000,515000,474000,433000,411000,459000,412000
OECD members,OED,676000,727000,775000,783000,761000,755000,725000,722000,718000,678000,662000,713000,725000,714000,680000,626000,577000,610000,825000,842000,803000,801000,792000,741000,685000,643000,590000,546000,540000,710000,633000
Oman,OMN,401000,401000,407000,411000,410000,413000,409000,414000,418000,409000,413000,420000,423000,418000,418000,415000,418000,414000,405000,399000,387000,368000,362000,354000,339000,327000,257000,180000,185000,294000,312000
Other small states,OSS,1171000,1230000,1301000,1341000,1386000,1411000,1434000,1406000,1397000,1366000,1369000,1347000,1367000,1330000,1286000,1208000,1142000,1098000,1148000,1160000,1106000,1073000,1087000,1066000,1061000,1061000,1028000,992000,979000,1101000,1098000
Pakistan,PAK,62000,66000,56000,59000,60000,60000,54000,56000,57000,58000,56000,55000,59000,61000,59000,58000,40000,42000,54000,65000,80000,185000,295000,183000,357000,378000,392000,408000,354000,430000,435000
Panama,PAN,373000,376000,380000,381000,379000,378000,377000,377000,382000,381000,382000,379000,379000,374000,375000,370000,368000,374000,385000,372000,238000,239000,229000,271000,298000,326000,386000,383000,473000,1285000,1209000
Peru,PER,456000,472000,450000,425000,448000,472000,459000,495000,490000,488000,503000,484000,415000,470000,488000,418000,404000,404000,398000,358000,348000,324000,357000,321000,327000,374000,369000,349000,338000,718000,483000
Philippines,PHL,378000,375000,370000,363000,363000,359000,362000,381000,369000,365000,370000,363000,353000,355000,380000,405000,343000,372000,386000,361000,359000,350000,350000,360000,307000,270000,255000,234000,224000,252000,241000
Papua New Guinea,PNG,254000,249000,243000,265000,284000,265000,289000,290000,282000,292000,280000,273000,262000,254000,241000,236000,224000,231000,212000,200000,262000,254000,255000,238000,248000,248000,251000,256000,245000,260000,275000
Poland,POL,1298000,1365000,1439000,1483000,1370000,1268000,1096000,994000,1229000,1631000,1837000,1989000,1937000,1907000,1775000,1384000,960000,712000,817000,964000,963000,1009000,1033000,899000,750000,616000,489000,385000,328000,316000,337000
Pre-demographic dividend,PRE,516000,518000,518000,513000,508000,505000,501000,499000,502000,506000,507000,511000,513000,509000,507000,506000,501000,495000,496000,535000,527000,519000,505000,518000,519000,568000,606000,613000,620000,694000,707000
Puerto Rico,PRI,1618000,1693000,1691000,1460000,1393000,1364000,1380000,1346000,1181000,1008000,1140000,1194000,1178000,1031000,1135000,1101000,1093000,1148000,1500000,1610000,1570000,1450000,1430000,1390000,1200000,1180000,1080000,920000,830000,889000,827000
"Korea, Dem. People's Rep.",PRK,230000,231000,242000,254000,255000,260000,268000,283000,297000,293000,294000,290000,291000,286000,284000,281000,282000,277000,278000,271000,278000,281000,280000,274000,274000,276000,270000,263000,259000,292000,259000
Portugal,PRT,392000,398000,530000,671000,706000,730000,657000,465000,458000,381000,383000,450000,613000,632000,758000,765000,796000,755000,943000,1077000,1268000,1553000,1618000,1389000,1244000,1107000,887000,699000,646000,679000,665000
Paraguay,PRY,510000,498000,506000,441000,340000,815000,536000,442000,534000,761000,621000,939000,681000,651000,482000,528000,471000,442000,546000,457000,467000,409000,438000,503000,456000,525000,461000,622000,659000,755000,721000
West Bank and Gaza,PSE,1160000,1131000,1129000,1115000,1110000,1103000,1083000,1072000,1064000,1063000,2149000,2746000,2300000,2321000,2002000,1901000,1828000,2291000,2045000,2142000,1760000,1920000,1989000,2053000,2300000,2394000,2568000,2626000,2534000,2589000,2490000
Pacific island small states,PSS,275000,266000,275000,274000,280000,287000,299000,299000,296000,318000,315000,313000,309000,299000,297000,295000,306000,310000,325000,311000,305000,315000,295000,291000,288000,283000,282000,285000,288000,313000,342000
Post-demographic dividend,PST,630000,692000,750000,751000,739000,756000,736000,738000,711000,653000,637000,675000,684000,665000,635000,593000,552000,586000,801000,829000,800000,806000,796000,744000,687000,640000,584000,529000,495000,670000,581000
French Polynesia,PYF,1197000,1220000,1222000,1213000,1210000,1207000,1193000,1161000,1171000,1167000,1180000,1171000,1162000,1170000,1176000,1179000,1174000,1191000,1226000,1220000,1229000,1221000,1217000,1220000,1217000,1218000,1221000,1225000,1230000,1410000,1439000
Qatar,QAT,81000,81000,81000,82000,82000,83000,83000,83000,84000,84000,85000,85000,86000,86000,87000,87000,52000,31000,31000,45000,56000,48000,28000,20000,17000,15000,14000,11000,10000,21000,26000
Romania,ROU,807000,826000,836000,817000,801000,674000,551000,563000,624000,697000,656000,811000,695000,772000,717000,727000,641000,579000,686000,696000,718000,679000,710000,680000,681000,590000,493000,419000,391000,503000,517000
Russian Federation,RUS,541000,518000,588000,813000,945000,967000,1181000,1326000,1304000,1058000,898000,788000,821000,776000,712000,706000,600000,621000,830000,737000,654000,544000,546000,516000,557000,556000,521000,485000,450000,559000,501000
Rwanda,RWA,30000,34000,41000,47000,50000,56000,61000,68000,74000,79000,84000,89000,94000,95000,96000,99000,101000,102000,106000,108000,110000,112000,115000,117000,115000,114000,114000,111000,110000,149000,161000
South Asia,SAS,502000,512000,508000,512000,513000,509000,498000,502000,507000,493000,497000,498000,510000,508000,506000,496000,496000,485000,501000,484000,479000,491000,507000,497000,514000,515000,512000,512000,502000,724000,579000
Saudi Arabia,SAU,707000,720000,685000,641000,600000,556000,515000,472000,435000,457000,462000,527000,556000,582000,605000,625000,573000,508000,538000,555000,577000,552000,557000,572000,559000,565000,589000,604000,567000,745000,736000
Sudan,SDN,1555000,1556000,1556000,1556000,1546000,1542000,1533000,1535000,1531000,1523000,1518000,1513000,1507000,1505000,1497000,1489000,1482000,1480000,1300000,1520000,1744000,1745000,1741000,1743000,1749000,1752000,1753000,1758000,1765000,1965000,1981000
Senegal,SEN,557000,559000,559000,561000,557000,560000,560000,558000,558000,561000,561000,565000,669000,779000,890000,1003000,1008000,1013000,1021000,1026000,1036000,944000,858000,765000,676000,446000,369000,328000,286000,362000,372000
Singapore,SGP,218000,309000,307000,303000,330000,357000,250000,341000,485000,370000,376000,565000,593000,584000,559000,448000,390000,396000,586000,412000,389000,372000,386000,374000,379000,408000,420000,364000,310000,410000,362000
Solomon Islands,SLB,132000,125000,140000,136000,136000,153000,161000,159000,166000,203000,191000,183000,166000,170000,176000,182000,188000,189000,202000,158000,130000,105000,69000,73000,73000,70000,71000,72000,75000,92000,103000
Sierra Leone,SLE,346000,351000,346000,347000,348000,345000,347000,345000,345000,343000,346000,339000,342000,342000,355000,367000,379000,392000,405000,417000,429000,440000,451000,468000,474000,466000,466000,466000,465000,520000,533000
El Salvador,SLV,753000,788000,994000,768000,765000,768000,798000,710000,668000,696000,696000,573000,626000,605000,722000,657000,641000,588000,733000,489000,430000,384000,369000,415000,400000,442000,439000,401000,417000,625000,594000
Somalia,SOM,1919000,1927000,1916000,1933000,1914000,1910000,1914000,1908000,1906000,1905000,1904000,1902000,1902000,1902000,1901000,1901000,1890000,1892000,1894000,1896000,1898000,1897000,1895000,1893000,1890000,1889000,1888000,1885000,1883000,1972000,1986000
Serbia,SRB,1333000,1294000,1282000,1340000,1340000,1320000,1380000,1370000,1370000,1260000,1280000,1380000,1520000,1850000,2085000,2085000,1806000,1370000,1614000,1922000,2297000,2400000,2215000,1922000,1766000,1526000,1348000,1273000,1039000,901000,1181000
Sub-Saharan Africa (excluding high income),SSA,651000,658000,660000,659000,658000,660000,663000,662000,669000,667000,665000,677000,665000,635000,622000,612000,595000,565000,567000,600000,593000,585000,571000,579000,582000,624000,647000,648000,661000,728000,766000
South Sudan,SSD,1191000,1195000,1198000,1202000,1200000,1201000,1200000,1205000,1206000,1206000,1207000,1208000,1209000,1212000,1211000,1211000,1211000,1215000,1218000,1218000,1220000,1220000,1213000,1219000,1227000,1230000,1225000,1224000,1223000,1403000,1391000
Sub-Saharan Africa,SSF,651000,658000,660000,659000,658000,660000,663000,662000,669000,667000,665000,677000,665000,635000,622000,612000,595000,565000,567000,600000,593000,585000,571000,579000,582000,624000,647000,648000,661000,728000,766000
Small states,SST,1227000,1277000,1330000,1336000,1357000,1366000,1378000,1342000,1330000,1297000,1285000,1264000,1257000,1220000,1176000,1096000,1039000,1013000,1073000,1086000,1050000,1039000,1060000,1029000,1020000,1021000,980000,934000,911000,1039000,1037000
Sao Tome and Principe,STP,1438000,1439000,1439000,1437000,1438000,1439000,1439000,1437000,1437000,1440000,1573000,1763000,1636000,1612000,1647000,1665000,1623000,1563000,1520000,1460000,1411000,1359000,1365000,1370000,1382000,1389000,1397000,1406000,1414000,1575000,1591000
Suriname,SUR,1707000,1728000,1564000,1270000,839000,1088000,1056000,1063000,1360000,1274000,1191000,1115000,1031000,949000,938000,919000,903000,888000,872000,715000,754000,810000,660000,694000,722000,792000,790000,793000,804000,978000,1006000
Slovak Republic,SVK,1158000,1187000,1220000,1365000,1311000,1134000,1189000,1219000,1595000,1906000,1938000,1872000,1712000,1860000,1626000,1337000,1114000,951000,1203000,1438000,1362000,1396000,1422000,1318000,1148000,967000,813000,654000,575000,669000,674000
Slovenia,SVN,708000,768000,851000,824000,715000,691000,665000,739000,732000,692000,568000,592000,648000,601000,651000,595000,482000,437000,586000,724000,817000,884000,1010000,967000,896000,800000,656000,511000,445000,497000,442000
Sweden,SWE,324000,572000,933000,958000,890000,955000,1036000,894000,761000,547000,473000,497000,555000,669000,749000,707000,616000,623000,835000,861000,780000,798000,805000,795000,743000,699000,672000,636000,683000,829000,866000
Eswatini,SWZ,2181000,2176000,2173000,2171000,2165000,2208000,2250000,2308000,2365000,2424000,2483000,2536000,2594000,2652000,2707000,2764000,2824000,2768000,2705000,2641000,2581000,2515000,2455000,2397000,2333000,2272000,2275000,2279000,2284000,2551000,2576000
Syrian Arab Republic,SYR,675000,703000,740000,750000,720000,729000,739000,745000,760000,960000,1163000,1093000,1028000,954000,885000,817000,842000,1094000,814000,861000,870000,881000,883000,872000,871000,873000,875000,876000,877000,1026000,1057000
Chad,TCD,68000,68000,70000,69000,72000,73000,75000,76000,79000,81000,81000,83000,84000,84000,87000,91000,93000,94000,96000,96000,100000,101000,103000,105000,107000,110000,112000,113000,112000,174000,188000
East Asia & Pacific (IDA & IBRD countries),TEA,240000,236000,262000,292000,300000,311000,321000,337000,346000,341000,385000,417000,442000,441000,449000,438000,436000,445000,441000,417000,412000,405000,406000,405000,412000,404000,393000,381000,391000,441000,432000
Europe & Central Asia (IDA & IBRD countries),TEC,597000,637000,709000,847000,947000,1009000,1073000,1161000,1201000,1125000,1084000,1067000,1038000,1011000,942000,862000,752000,729000,894000,856000,802000,753000,759000,766000,763000,745000,709000,669000,678000,740000,727000
Togo,TGO,366000,371000,379000,370000,376000,379000,381000,391000,393000,398000,402000,405000,408000,416000,422000,423000,380000,334000,288000,243000,198000,203000,209000,214000,220000,297000,374000,373000,372000,394000,400000
Thailand,THA,263000,135000,149000,135000,110000,107000,87000,340000,297000,239000,260000,182000,154000,151000,135000,122000,118000,118000,95000,62000,66000,58000,25000,58000,60000,69000,83000,77000,72000,110000,142000
Tajikistan,TJK,190000,210000,620000,880000,1030000,1340000,1390000,1650000,1540000,1513000,1477000,1441000,1402000,1361000,1313000,1274000,1237000,1198000,1150000,1089000,1024000,958000,891000,823000,755000,690000,695000,701000,706000,758000,775000
Turkmenistan,TKM,140000,150000,150000,470000,830000,1030000,1100000,1220000,1270000,1154000,1068000,975000,899000,819000,750000,661000,576000,495000,400000,400000,409000,409000,411000,414000,414000,417000,420000,423000,427000,495000,508000
Latin America & the Caribbean (IDA & IBRD countries),TLA,599000,593000,594000,644000,765000,803000,786000,826000,918000,908000,879000,904000,893000,842000,796000,733000,688000,652000,751000,683000,650000,642000,637000,618000,668000,780000,809000,798000,804000,1020000,1009000
Timor-Leste,TLS,354000,353000,352000,354000,353000,351000,356000,361000,393000,341000,337000,357000,352000,348000,344000,349000,334000,332000,331000,330000,355000,376000,402000,421000,445000,466000,476000,473000,451000,491000,507000
Middle East & North Africa (IDA & IBRD countries),TMN,1186000,1214000,1284000,1289000,1334000,1231000,1205000,1224000,1257000,1320000,1318000,1323000,1287000,1151000,1179000,1100000,1052000,1027000,1043000,1068000,1146000,1168000,1140000,1158000,1182000,1193000,1193000,1146000,1060000,1209000,1205000
Tonga,TON,131000,138000,130000,166000,198000,249000,289000,324000,358000,408000,434000,466000,518000,401000,249000,109000,125000,135000,167000,174000,179000,207000,224000,237000,255000,257000,282000,307000,306000,363000,397000
South Asia (IDA & IBRD),TSA,502000,512000,508000,512000,513000,509000,498000,502000,507000,493000,497000,498000,510000,508000,506000,496000,496000,485000,501000,484000,479000,491000,507000,497000,514000,515000,512000,512000,502000,724000,579000
Sub-Saharan Africa (IDA & IBRD countries),TSS,651000,658000,660000,659000,658000,660000,663000,662000,669000,667000,665000,677000,665000,635000,622000,612000,595000,565000,567000,600000,593000,585000,571000,579000,582000,624000,647000,648000,661000,728000,766000
Trinidad and Tobago,TTO,1852000,1966000,1981000,1844000,1722000,1625000,1501000,1421000,1312000,1210000,1088000,1039000,1048000,833000,795000,627000,554000,463000,528000,403000,343000,372000,268000,248000,243000,321000,328000,334000,342000,457000,480000
Tunisia,TUN,1565000,1558000,1583000,1586000,1594000,1583000,1594000,1561000,1521000,1494000,1440000,1455000,1451000,1423000,1287000,1251000,1236000,1244000,1329000,1305000,1833000,1763000,1593000,1506000,1516000,1556000,1533000,1546000,1513000,1659000,1682000
Turkiye,TUR,821000,851000,896000,858000,764000,663000,684000,689000,769000,650000,838000,1036000,1054000,1084000,1064000,872000,887000,971000,1255000,1066000,880000,815000,873000,988000,1024000,1084000,1082000,1089000,1367000,1311000,1339000
Tanzania,TZA,360000,356000,350000,344000,336000,329000,324000,319000,312000,306000,299000,304000,311000,316000,323000,330000,303000,277000,250000,299000,347000,323000,293000,212000,214000,216000,218000,221000,222000,253000,265000
Uganda,UGA,94000,92000,116000,142000,165000,192000,221000,247000,271000,303000,327000,350000,360000,275000,190000,229000,273000,315000,360000,359000,351000,355000,191000,191000,191000,192000,193000,192000,192000,277000,294000
Ukraine,UKR,190000,190000,200000,200000,562000,765000,893000,1132000,1186000,1171000,1106000,1014000,906000,859000,718000,681000,635000,636000,884000,810000,785000,753000,717000,927000,914000,935000,950000,880000,819000,913000,888000
Upper middle income,UMC,382000,387000,419000,462000,501000,518000,534000,561000,576000,552000,577000,605000,622000,601000,593000,570000,545000,549000,599000,567000,554000,548000,549000,549000,566000,590000,593000,577000,600000,676000,676000
Uruguay,URY,895000,896000,835000,904000,1002000,1193000,1144000,936000,1047000,1263000,1505000,1665000,1666000,1298000,1201000,1084000,940000,803000,774000,716000,631000,645000,644000,655000,749000,784000,789000,834000,888000,1035000,1045000
United States,USA,680000,750000,690000,612000,565000,545000,500000,451000,422000,399000,473000,578000,599000,553000,508000,462000,462000,578000,925000,963000,895000,807000,737000,617000,528000,487000,436000,390000,367000,805000,546000
Uzbekistan,UZB,190000,290000,490000,730000,780000,1070000,1090000,1330000,1330000,1223000,1120000,1015000,911000,819000,709000,603000,499000,489000,500000,540000,500000,490000,490000,510000,520000,520000,580000,584000,585000,704000,716000
St. Vincent and the Grenadines,VCT,1977000,1969000,1974000,2019000,1999000,2038000,2044000,2057000,2077000,2095000,2110000,2059000,2021000,2002000,1975000,1923000,1906000,1879000,1896000,1905000,1899000,1897000,1899000,1905000,1909000,1911000,1918000,1918000,1928000,2100000,2162000
"Venezuela, RB",VEN,945000,769000,660000,856000,1024000,1177000,1116000,1115000,1453000,1399000,1304000,1617000,1678000,1507000,1066000,861000,728000,625000,610000,711000,690000,660000,754000,686000,608000,532000,505000,502000,510000,663000,641000
Virgin Islands (U.S.),VIR,1235000,1251000,1270000,1247000,1213000,1221000,1212000,1186000,1150000,1111000,1108000,1119000,1136000,1105000,1096000,1041000,1019000,1031000,1158000,1173000,1208000,1223000,1276000,1279000,1262000,1268000,1232000,1243000,1247000,1355000,1327000
Vietnam,VNM,209000,191000,197000,193000,190000,193000,287000,229000,233000,226000,276000,212000,225000,214000,210000,209000,203000,193000,174000,111000,100000,103000,132000,126000,185000,185000,187000,116000,204000,239000,217000
Vanuatu,VUT,168000,169000,173000,159000,174000,172000,168000,176000,178000,,188000,192000,174000,175000,173000,168000,179000,175000,181000,185000,181000,185000,186000,181000,186000,178000,175000,181000,180000,212000,218000
World,WLD,480000,496000,523000,549000,563000,570000,570000,586000,597000,577000,586000,607000,616000,600000,590000,563000,542000,541000,601000,590000,577000,574000,573000,560000,562000,566000,556000,539000,536000,657000,618000
Samoa,WSM,210000,238000,263000,304000,319000,347000,390000,418000,448000,466000,496000,510000,516000,522000,529000,542000,536000,558000,583000,573000,568000,875000,867000,872000,850000,831000,858000,869000,841000,915000,984000
"Yemen, Rep.",YEM,832000,831000,835000,834000,896000,959000,1020000,1081000,1146000,1156000,1171000,1184000,1197000,1210000,1221000,1237000,1249000,1262000,1275000,1283000,1323000,1317000,1327000,1347000,1377000,1343000,1330000,1315000,1306000,1339000,1357000
South Africa,ZAF,2995000,2998000,2992000,2989000,2989000,2987000,2991000,2995000,2991000,2988000,3069000,3329000,3231000,2945000,2912000,2834000,2654000,2241000,2352000,2468000,2464000,2473000,2456000,2489000,2515000,2654000,2704000,2691000,2847000,2922000,3356000
Zambia,ZMB,1890000,1937000,1970000,1843000,1681000,1530000,1364000,1200000,1244000,1293000,1351000,1412000,1469000,1530000,1590000,1324000,1059000,793000,1056000,1319000,1055000,785000,861000,936000,1013000,1087000,1163000,1201000,1252000,1285000,1303000
